CAS_number,chemical_name_NL,chemical_name_EN,molecular_weight,solubility,log_octanol_water_partitioning_coefficient,log_distribution_coefficient,chemical_group,chemical_group_number,molecular_volume,Drinking_water_norm
100-41-4,Ethylbenzeen,Ethylbenzene,106.186665,159.4494297,3.15,1.299931656,MAK,1,,0.001
74-85-1,Ethylene,Ethylene,28.05,130,1.13,,Alk,1,,
 105-37-3 ,Ethylpropionate,Ethylpropionate,102.13,17000,1.21,,O2,3,,
1985-01-08,Fenanthreen,Phenanthrene,178.21,0.85,4.47,2.993573044,PAK,1,,0.0001
108-95-2,Fenol,Phenol,94.10499987,65559.5567,1.48,0.336603308,O2,3,,0.001
,fluoranthene,fluoranthene,202.15,0.836365063,5.08,3.943475119,PAK,1,195.85,0.0001
,fluorene,fluorene,166.1,9.822703148,4.14,,PAK,1,154.6,
,gasoline,gasoline,,,,,Arom,1,,
,HCB,HCB,284.8,0.358541957,5.6,,overige,3,161.2,
142-82-5,Heptaan (n-heptaan),n-Heptane,100.2,2.6,4.58,,Alk,1,,
,heptachlor,heptachlor,373.3,1.180478251,6,3.213533128,overige,3,230.8,0.00003
,heptachlor epoxide,heptachlor epoxide,389.3,4.900996628,5.4,1.705641075,overige,3,233.7,0.00003
53535-33-4,Heptanol,Heptanol,116.21,1940,2.62,,O2,3,,
110-54-3,Hexaan,Hexane,86.18,23,3.888,,Alk,1,,
118741,Hexachloorbenzeen,Hexachlorobenzene,284.8,0.0117,5.73,2.823626427,ClArom,1,,0.001
 66-25-1 ,Hexaldehyde,Hexaldehyde,100.16,6000,1.78,,O2,3,,
25264-93-1,Hexene,Hexene,84.16,50,3.07,,Alk,1,,
,δ-HCH,δ-HCH,290.8,115.7695652,3.9,2.134261869,overige,3,178,0.0001
1998-07-07,"α,α,α-Trichloortolueen",Benzotrichloride,195.475,51.5,2.92,,ClArom,1,,
,α-endosulfan,α-endosulfan,406.9,2.567365435,4.9,1.874913747,overige,3,236.3,0.0001
,α-HCH,α-HCH,290.8,91.95903436,3.9,2.09433891,overige,3,178,0.0001
,β-HCH,β-HCH,290.8,460.8869404,3.9,2.134261869,overige,3,178,0.0001
,γ-HCH,γ-HCH,290.8,73.04565743,3.8,1.755373969,overige,3,178,0.0001
,"indeno[1,2,3-cd]pyrene","indeno[1,2,3-cd]pyrene",276,0.000265,6.7,4.783464526,PAK,1,253.4,0.0001
103651,i-propylbenzeen,i-propylbenzene,120.19,61.3,3.66,,,,,
115-11-7,Isobutyleen,Isobutylene,56.11,388,2.35,,Alk,1,,
108-41-8,m-Chloortolueen,mo-Chlorotoluene,126.586,117,3.764,,ClArom,1,,
,MCPA,MCPA,200.6,622,2.68,0.573466342,overige,3,,0.0001
108394,m-Cresol,m-Cresol,108.1166641,6321.665372,1.96,0.517742126,overige,3,,0.001
 74-82-8 ,Methaan,Methane,16.05,26000,1.09,,Alk,1,,
67-56-1,Methanol,Methanol,32,1056000,-0.7,,O2,3,,
100-66-3,Methoxybenzeen,methoxybenzene,108.14,1040,2.11,,O2,3,,
,Methoxybenzene,Methoxybenzene,108.14,1741,2.11,,O2,3,109.3,
,methoxychlor,methoxychlor,345.7,0.173260427,5.1,,overige,3,260.5,
000108-10-1,Methyl iso-Buthyl Ketone,Methyl isobutyl ketone (MIBK),100.16,19000,1.31,,O2,3,125.8,
1634-04-4,Methyl tert-butyl ether {MTBE},Methyl tert-butyl ether,88.15,51000,0.94,-0.043843695,O2,3,,0.001
78-93-3,Methylethylketon {Butanone},2-Butanone,72,352800,0.2755,,O2,3,90.2,
,Methyl-octacosanate,Methyl-octacosanate,438,,,,onbekend,3,,
,Methyl-tricosanante,Methyl-tricosanante,368,,,,onbekend,3,,
,me-triclosan,me-triclosan,303.6,2.411580521,5.4,,overige,3,214.2,
,Minerale olie (C10),10,122,0.1,5.28,4.164492244,Alk,1,,0.001
,Minerale olie (C10-C12),Mineral oil (C10-C12),132,0.028183829,5.73,,Alk,1,,
,Minerale olie (C11),11,134,0.028183829,5.73,4.164492244,Alk,1,,0.001
,Minerale olie (C12),12,146,0.007943282,6.18,4.164492244,Alk,1,,0.001
,Minerale olie (C12-C16),Mineral oil (C12-C16),168,0.000630957,7.08,,Alk,1,,
,Minerale olie (C13),13,158,0.002238721,6.63,5.463590432,Alk,1,,0.001
,Minerale olie (C14),14,170,0.000630957,7.08,5.463590432,Alk,1,,0.001
,Minerale olie (C15),15,182,0.000177828,7.53,5.463590432,Alk,1,,0.001
,Minerale olie (C16),16,194,5.01E-05,7.98,5.463590432,Alk,1,,0.001
,Minerale olie (C16-C21),Mineral oil (C16-C21),300,2.11E-06,9.105,,Alk,1,,
,Minerale olie (C17),17,206,1.41E-05,8.43,7.763487393,Alk,1,,0.001
,Minerale olie (C18),18,218,3.98E-06,8.88,7.763487393,Alk,1,,0.001
,Minerale olie (C19),19,230,1.12E-06,9.33,7.763487393,Alk,1,,0.001
,Minerale olie (C20),20,242,3.16E-07,9.78,7.763487393,Alk,1,,0.001
,Minerale olie (C21),21,254,8.91E-08,10.23,7.763487393,Alk,1,,0.001
,Minerale olie (C21-C30),Mineral oil (C21-C30),390,5.62E-10,12.03,,Alk,1,,
,Minerale olie (C22),22,266,2.51E-08,10.68,,Alk,1,,0.001
,Minerale olie (C23),23,278,7.08E-09,11.13,,Alk,1,,0.001
,Minerale olie (C24),24,290,2.00E-09,11.58,,Alk,1,,0.001
,Minerale olie (C25),25,302,5.62E-10,12.03,,Alk,1,,0.001
,Minerale olie (C26),26,314,1.58E-10,12.48,,Alk,1,,0.001
,Minerale olie (C27),27,326,4.47E-11,12.93,,Alk,1,,0.001
,Minerale olie (C28),28,338,1.26E-11,13.38,,Alk,1,,0.001
,Minerale olie (C29),29,350,3.55E-12,13.83,,Alk,1,,0.001
,Minerale olie (C30),30,362,1.00E-12,14.28,,Alk,1,,0.001
,Minerale olie (C31),31,374,2.82E-13,14.73,,Alk,1,,0.001
,Minerale olie (C32),32,386,7.94E-14,15.18,,Alk,1,,0.001
,Minerale olie (C33),33,398,2.24E-14,15.63,,Alk,1,,0.001
,Minerale olie (C34),34,410,6.31E-15,16.08,,Alk,1,,0.001
,Minerale olie (C35),35,422,1.78E-15,16.53,,Alk,1,,0.001
,Minerale olie (C36),36,434,5.01E-16,16.98,,Alk,1,,0.001
,Minerale olie (C37),37,446,1.41E-16,17.43,,Alk,1,,0.001
,Minerale olie (C38),38,458,3.98E-17,17.88,,Alk,1,,0.001
,Minerale olie (C39),39,470,1.12E-17,18.33,,Alk,1,,0.001
,Minerale olie (C40),40,482,3.16E-18,18.78,,Alk,1,,0.001
 99-09-2,m-Nitroaniline,3-Nitroaniline,138.13,1200,1.37,,overige,3,,
,Monochlooranilinen,Monochlooranilinen,127.6,3470,1.88,1.308827992,Cl,3,,0.001
108-90-7,Monochloorbenzeen,Chlorobenzene,112.5899987,507.425862,2.89,1.112564971,ClArom,1,,0.001
 108-38-3 ,m-Xyleen,m-Xylene,106.1899991,197.4065205,3.2,1.181562839,MAK,1,,0.001
91-20-3,Naftaleen,Naphthalene,128.19,31.8,3.3,1.745433577,PAK,1,124.6,0.001
,naphthalene,naphthalene,128,,3.3,,PAK,1,128.2,
106-97-8,n-Butaan {Butaan},Butane,58.12,61,2.89,,Alk,1,,
,n-Decanal,n-Decanal,156,,,,O2,3,,
,n-Dodecane,n-Dodecane,170,,,,Alk,1,,
 75-83-2 ,Neohexane,Neohexane,86.18,,3.82,,Alk,1,,
106-97-8,Neopentaan,Neopentane,72.15,33,3.11,,Alk,1,,
98-95-3,Nitrobenzeen,Nitrobenzene,123.11,2026.666667,1.845,,overige,3,,
100-61-8,n-Methylaniline,N-Methylaniline,107.16,5620,1.66,,overige,3,,
,n-Nonanal,n-Nonanal,142,,,,O2,3,,
,n-nonylphenol,n-nonylphenol,220.4,1.104616663,4.5,,overige,3,238.8,
,n-nonylphenol-tech,n-nonylphenol-tech,,,,,overige,3,,
,n-Octanal,n-Octanal,128,,,,O2,3,,
,n-octylphenol,n-octylphenol,206.3,5.182021708,4,,overige,3,222.3,
111842,nonaan,Nonane ,128.25,0.22,5.65,,,,,
,nonylphenol-d4,nonylphenol-d4,,,,,overige,3,,
109-66-0,n-Pentaan,Pentane,72.15,39.25,3.42,,Alk,1,,
109-66-0,n-Pentane,n-Pentane,72.15,40,3.39,,Alk,1,,
,n-Tetradecane,n-Tetradecane,198,,,,Alk,1,,
,"o,p’-DDD","o,p’-DDD",320.1,0.3201,6.8,3.943475106,overige,3,224.8,0.0001
,"o,p’-DDE","o,p’-DDE",318,0.400338281,7.1,4.1134711,overige,3,221.1,0.0001
,"o,p’-DDT","o,p’-DDT",354.5,0.177670874,6.4,4.343467663,overige,3,237.7,0.0001
95-49-8,o-Chloortolueen,o-Chlorotoluene,126.586,154,3.2,,ClArom,1,,
95487,o-Cresol,o-Cresol,108.1166641,14858.86058,1.95,0.399094472,overige,3,,0.001
111-65-9,Octaan,Octane,114.23,0.7,5.15,,Alk,1,,
,octylphenol-d17,octylphenol-d17,,,,,overige,3,,
 95-47-6 ,o-Xyleen,o-Xylene,106.186665,218.9335957,3.12,0.956771645,MAK,1,,0.001
,"p,p’-DDD","p,p’-DDD",320.1,0.804054847,6.3,,overige,3,227.1,
,"p,p’-DDE","p,p’-DDE",318,0.252596379,6.9,,overige,3,222.4,
,"p,p’-DDMU","p,p’-DDMU",283.6,,6.2,,overige,3,210.4,
,"p,p’-DDT","p,p’-DDT",354.5,0.141128992,6.4,,overige,3,240.1,
,PCB 1,PCB 1,,,4.46,,PCB,2,163.2,
,PCB 10,PCB 10,223.1,1.772146292,4.85,,PCB,2,223.1,
,PCB 100,PCB 100,,,6.23,,PCB,2,212.1,
,PCB 101,PCB 101,325.1617,0.057913166,6.316,4.293468622,PCB,2,212.15,0.0001
,PCB 103,PCB 103,,,6.22,,PCB,2,212,
,PCB 104,PCB 104,326.4,0.205944477,5.85,,PCB,2,360.9,
,PCB 105,PCB 105,326.4,0.025926874,6.716666667,,PCB,2,209.9,
,PCB 107,PCB 107,,,6.71,,PCB,2,210.5,
,PCB 110,PCB 110,326.4,0.03264,6.526666667,,PCB,2,209.7,
,PCB 118,PCB 118,341.3406,0.032261293,6.5081,5.113463578,PCB,2,210.25,0.0001
,PCB 119,PCB 119,,,6.58,,PCB,2,210.75,
,PCB 128,PCB 128,360.9,0.018087847,6.746666667,,PCB,2,222.6,
,PCB 129,PCB 129,360.9,0.018087847,6.75,,PCB,2,360.9,
,PCB 132,PCB 132,,,6.58,,PCB,2,222.65,
,PCB 134,PCB 134,,,6.55,,PCB,2,222.2,
,PCB 135,PCB 135,,,6.64,,PCB,2,222.9,
,PCB 136,PCB 136,,,6.22,,PCB,2,221.7,
,PCB 137,PCB 137,360.9,0.014367688,6.85,,PCB,2,360.9,
,PCB 138,PCB 138,360.3746,0.017903781,6.7341,4.473466391,PCB,2,223.25,0.0001
,PCB 14,PCB 14,223.1,0.560401863,5.3,,PCB,2,,
,PCB 141,PCB 141,360.9,0.014367688,6.84,,PCB,2,223.55,
,PCB 143,PCB 143,360.9,0.022771251,6.65,,PCB,2,,
,PCB 145,PCB 145,360.9,0.072009017,6.3,,PCB,2,,
,PCB 146,PCB 146,,,6.89,,PCB,2,223.7,
,PCB 149,PCB 149,360.9,0.022771251,6.75,,PCB,2,360.9,
,PCB 151,PCB 151,360.9,0.022771251,6.646666667,,PCB,2,223.15,
,PCB 153,PCB 153,374.6501,0.012145224,6.9036,4.63346528,PCB,2,223.75,0.0001
,PCB 155,PCB 155,360.9,0.01141266,6.67,,PCB,2,223.85,
,PCB 156,PCB 156,360.9,0.00571988,7.226666667,,PCB,2,222.05,
,PCB 158,PCB 158,,,7.02,,PCB,2,221.6,
,PCB 16,PCB 16,,,5.16,,PCB,2,187.4,
,PCB 163,PCB 163,,,6.99,,PCB,2,221.5,
,PCB 170,PCB 170,395.3,0.004976532,7.35,,PCB,2,360.9,
,PCB 171,PCB 171,,,7.11,,PCB,2,234.1,
,PCB 172,PCB 172,,,7.33,,PCB,2,235.1,
,PCB 174,PCB 174,,,7.11,,PCB,2,234,
,PCB 177,PCB 177,,,7.08,,PCB,2,234,
,PCB 178,PCB 178,,,7.14,,PCB,2,234.7,
,PCB 18,PCB 18,257.5,0.814286497,5.246666667,,PCB,2,188.35,
,PCB 180,PCB 180,395.3,0.006265083,7.3,4.753464668,PCB,2,360.9,0.0001
,PCB 183,PCB 183,,,7.2,,PCB,2,234.6,
,PCB 185,PCB 185,,,7.11,,PCB,2,234.4,
,PCB 187,PCB 187,395.3,0.006265083,7.25,,PCB,2,235,
,PCB 192,PCB 192,,,7.52,,PCB,2,234,
,PCB 194,PCB 194,429.8,,7.8,,PCB,2,246.55,
,PCB 195,PCB 195,,,7.56,,PCB,2,245.5,
,PCB 197,PCB 197,,,7.3,,PCB,2,245.6,
,PCB 199,PCB 199,,,7.2,,PCB,2,246.2,
,PCB 201,PCB 201,,,7.62,,PCB,2,245.5,
,PCB 202,PCB 202,,,7.24,,PCB,2,245.3,
,PCB 204,PCB 204,429.8,0.004298,7.35,,PCB,2,246.5,
,PCB 205,PCB 205,,,8,,PCB,2,244.8,
,PCB 206,PCB 206,,,8.09,,PCB,2,257.4,
,PCB 207,PCB 207,,,7.74,,PCB,2,257,
,PCB 208,PCB 208,,,7.71,,PCB,2,256.9,
,PCB 21,PCB 21,257.5,0.324173294,5.55,,PCB,2,257.5,
,PCB 22,PCB 22,,,5.58,,PCB,2,186.8,
,PCB 24,PCB 24,,,5.35,,PCB,2,186.1,
,PCB 25,PCB 25,,,5.67,,PCB,2,187.6,
,PCB 26,PCB 26,,,5.66,,PCB,2,187.4,
,PCB 27,PCB 27,,,5.44,,PCB,2,186.6,
,PCB 28,PCB 28,257.5,0.20453952,5.65,3.373509124,PCB,2,257.5,0.0001
,PCB 29,PCB 29,257.5,0.324173294,5.633333333,,PCB,2,187.5,
,PCB 3,PCB 3,,,4.69,,PCB,2,162.4,
,PCB 30,PCB 30,257.5,0.408109997,5.45,,PCB,2,257.5,
,PCB 31,PCB 31,257.5,0.20453952,5.75,,PCB,2,292,
,PCB 32,PCB 32,,,5.44,,PCB,2,186.6,
,PCB 37,PCB 37,,,5.83,,PCB,2,185.8,
,PCB 4,PCB 4,223.1,2.808662594,4.7,,PCB,2,,
,PCB 40,PCB 40,,,5.66,,PCB,2,199,
,PCB 41,PCB 41,,,5.69,,PCB,2,199.2,
,PCB 42,PCB 42,,,5.76,,PCB,2,199.8,
,PCB 43,PCB 43,,,5.75,,PCB,2,199.9,
,PCB 44,PCB 44,292,0.231943845,5.783333333,,PCB,2,199.95,
,PCB 45,PCB 45,,,5.53,,PCB,2,198.8,
,PCB 46,PCB 46,,,5.53,,PCB,2,198.8,
,PCB 47,PCB 47,292,0.146346672,5.9,,PCB,2,292,
,PCB 49,PCB 49,292,0.146346672,5.9,,PCB,2,292,
,PCB 50,PCB 50,292,0.292,5.65,,PCB,2,292,
,PCB 51,PCB 51,,,5.63,,PCB,2,199.6,
,PCB 52,PCB 52,292,0.116247294,5.85,3.463500793,PCB,2,,0.0001
,PCB 55,PCB 55,292,0.073347084,6.15,,PCB,2,292,
,PCB 56,PCB 56,292,0.073347084,6.136666667,,PCB,2,198.35,
,PCB 6,PCB 6,,,5.06,,PCB,2,175.2,
,PCB 60,PCB 60,,,6.11,,PCB,2,198.5,
,PCB 63,PCB 63,,,6.17,,PCB,2,199.2,
,PCB 64,PCB 64,,,5.95,,PCB,2,198.3,
,PCB 66,PCB 66,292,0.05826166,6.25,,PCB,2,,
,PCB 69,PCB 69,292,0.092338508,6.046666667,,PCB,2,199.2,
,PCB 71,PCB 71,,,5.98,,PCB,2,198,
,PCB 74,PCB 74,292,,6.2,,PCB,2,199.25,
,PCB 77,PCB 77,,,6.36,,PCB,2,197.2,
,PCB 78,PCB 78,292,0.036760622,6.4,,PCB,2,326.4,
,PCB 8,PCB 8,223.1,1.407665836,5.1,,PCB,2,,
,PCB 81,PCB 81,,,6.36,,PCB,2,197.6,
,PCB 82,PCB 82,,,6.2,,PCB,2,210.8,
,PCB 83,PCB 83,,,6.26,,PCB,2,211.5,
,PCB 85,PCB 85,326.4,0.051730914,6.333333333,,PCB,2,211.85,
,PCB 87,PCB 87,326.4,0.051730914,6.33,,PCB,2,211.7,
,PCB 89,PCB 89,,,6.07,,PCB,2,210.5,
,PCB 91,PCB 91,,,6.13,,PCB,2,211.2,
,PCB 97,PCB 97,326.4,0.051730914,6.33,,PCB,2,211.45,
,PCB 99,PCB 99,326.4,0.041091325,6.45,,PCB,2,326.4,
106-48-9,p-Chloorfenol,P-chlorophenol,128.56,25500,2.27,,Cl,3,,
106-43-4,p-Chloortolueen,p-Chlorotoluene,126.586,123,3.33,,ClArom,1,,
106445,p-Cresol,p-Cresol,108.1099991,28640.96526,1.94,0.444357034,overige,3,,0.001
608-93-5,Pentachloorbenzeen,Pentachlorobenzene,250.1297785,0.322818462,5.076666667,2.683710051,ClArom,1,,0.001
87-86-5,Pentachloorfenol,Pentachlorophenol,266.33,4.28,5.12,1.964642345,Cl,3,,0.001
110-62-3,Pentanal,Pentanal,86.13,14000,1.31,,O2,3,,
,Pentylbenzeen,Penthylbenzene,148.25,3.37,4.9,,MAK,1,,
,perylene,perylene,252.15,0.026200963,6.175,,PAK,1,219.45,
,phenanthrene,phenanthrene,178.1,4.350184731,4.48,,PAK,1,160.35,
 74-98-6 ,Propaan,Propane,44.1,75,2.36,,Alk,1,,
107-12-0,Propionitrile,Propionitrile,55.08,103000,0.16,,overige,3,,
 103-65-1,Propylbenzeen,Propylbenzene,120.19,54.00633333,3.71,,MAK,1,,
115-07-1,Propylene (Propeen??),Propylene,42.08,292,1.77,,Alk,1,,
,p-Xyleen,p-Xylene,106.186665,210.9384616,3.15,1.428036212,MAK,1,123.9,0.001
,pyrene,pyrene,202.15,0.836365063,4.94,,PAK,1,182.1,
110861,pyridine,pyridine,79.1,665483.58,0.65,0.714917304,overige,3,,0.0001
100-42-5,Styrene,Styrene,104.1485645,320.0573505,2.95,1.348594147,MAK,1,,0.001
634-66-2,Tetrachloorbenzeen,Tetrachlorobenzene,216,4.16,4.6,2.51,ClArom,1,,
127-18-4,Tetrachlooretheen,Tetrachloroethylene,165.8074995,118.8825037,3.4,1.194834616,ClAlk,1,,0.01
56-23-5,Tetrachloormethaan,Tetrachloromethane,153.82,800,2.83,0.558949208,ClAlk,1,,0.001
,Tetradecanol,Tetradecanol,214,,,,O2,3,,
 75-73-0 ,Tetrafluoromethane,Tetrafluoromethane,88.01,20,1.18,,overige,3,,
,tetrahydrofuran,tetrahydrofuran,72.10666651,405634.1962,0.47,-0.375336937,O2,3,,0.0001
110010,tetrahydrothiophene,tetrahydrothiophene,88.17499986,12894.97733,1.61,0.232488206,overige,3,,0.0001
,t-octylphenol,t-octylphenol,206.3,25.97163125,4.1,,overige,3,219.5,
108-88-3,Tolueen,Toluene,92.14249285,610.5910523,2.73,0.870272715,MAK,1,106.9,0.001
,Tribroommethaan,Tribromomethane,252.8,1719,2.67,0.946079776,overige,3,,0.0001
1979-01-06,Trichlooretheen,Trichloroethylene,131.4,1164.844161,2.61,0.842372721,ClAlk,1,,0.01
,triclosan,triclosan,289.5,11.52520259,4.8,,overige,3,192.1,
,UV1,UV1,214,,,,overige,3,,
,UV10,UV10,585,,,,overige,3,,
,UV2,UV2,258,,,,overige,3,,
,UV3,UV3,326,,,,overige,3,,
,UV4,UV4,332,,,,overige,3,,
,UV5,UV5,346,,,,overige,3,,
,UV6,UV6,388,,,,overige,3,,
,UV7,UV7,388,,,,overige,3,,
,UV8,UV8,445,,,,overige,3,,
,UV9,UV9,551,,,,overige,3,,
1975-01-04,Vinylchloride,Vinyl chloride,62.5,428,1.52,0.734988789,ClAlk,1,,0.0001
13-30-2-07,Xyleen,Xylene,120.208888,,3.74,,MAK,1,,
